"state","smokingRate","obesityRate","prematureDeathRate","physicalInactivityRate","publicHealthFundingPerCapita","excessiveDrinkingRate","uninsuredResidents","primaryCarePhysicians"
"West Virginia","23.8000","39.7000","11338","31.2000","147","13.2000","6.7000","282.7000"
"Mississippi","20.4000","40.8000","11011","37.7000","87","14.6000","13","232.3000"
"Alabama","20.2000","36.1000","10421","31.5000","116","13.6000","9.7000","203.5000"
"Kentucky","23.6000","36.5000","10082","32.8000","91","16.8000","6.4000","270.1000"
"Louisiana","21.9000","35.9000","10028","31.9000","94","20.8000","8.9000","217.2000"
"Tennessee","19.9000","36.5000","9981","30.1000","100","15.8000","10.1000","268.5000"
"Arkansas","20.2000","37.4000","9890","31.2000","109","14.9000","9.1000","206"
"Oklahoma","18.9000","36.8000","9708","34","95","13.7000","14.3000","212.4000"
"South Carolina","17.5000","35.4000","9319","28.8000","84","20.1000","10.8000","226.2000"
"New Mexico","16","31.7000","9262","25.4000","226","16.3000","10","247.9000"
"Missouri","19.6000","34.8000","9112","30.6000","61","18.1000","10","259.4000"
"Ohio","20.8000","34.8000","8857","28.3000","57","18.7000","6.6000","261.8000"
"Indiana","19.2000","35.3000","8693","30.9000","55","16.5000","8.7000","231.9000"
"Delaware","15.9000","34.4000","8289","26.6000","111","18.9000","6.6000","287.5000"
"Georgia","16.3000","33.1000","8151","27.9000","83","17.1000","13.4000","222.4000"
"North Carolina","18.5000","34","8072","26.3000","61","15.4000","11.3000","253.2000"
"Michigan","18.7000","36","8071","25.4000","60","19.1000","5.8000","278.8000"
"Alaska","17.4000","30.5000","7978","21.7000","289","18.2000","12.2000","321.1000"
"Pennsylvania","17.3000","33.2000","7807","25.6000","61","18","5.8000","281.8000"
"Nevada","15.7000","30.6000","7722","25.8000","50","18.4000","11.4000","182.8000"
"Kansas","16.2000","35.2000","7668","27.1000","64","18.7000","9.2000","255.1000"
"Wyoming","18.4000","29.7000","7570","24.6000","112","19","12.3000","221.3000"
"Florida","14.8000","27","7557","26.5000","65","18","13.2000","252"
"Maryland","12.7000","32.3000","7541","23.4000","108","15.1000","6","263.8000"
"Arizona","14.9000","31.4000","7527","24.1000","57","16.5000","11.3000","214.9000"
"South Dakota","18.3000","33","7400","30","112","22.6000","10.2000","279.3000"
"Montana","16.6000","28.3000","7372","19.7000","125","22.7000","8.3000","261.5000"
"Maine","17.6000","31.7000","7205","30.1000","109","19.9000","8","330.8000"
"Illinois","14.5000","31.6000","7178","25.6000","79","21.6000","7.4000","249.6000"
"Texas","14.7000","34","7126","27.2000","59","19.3000","18.4000","191.7000"
"North Dakota","17","34.8000","6899","28","123","23.3000","6.9000","302.6000"
"Virginia","14","31.9000","6863","25.3000","80","16.6000","7.9000","230.3000"
"Vermont","15.1000","26.6000","6844","20","157","21","4.5000","395.3000"
"New Hampshire","15.9000","31.8000","6819","21.7000","87","18.6000","6.3000","303.2000"
"Idaho","15.3000","29.5000","6788","23.8000","150","18.7000","10.8000","211.4000"
"Wisconsin","15.4000","34.2000","6676","23.2000","55","23.6000","5.7000","264.5000"
"Nebraska","14.7000","34.1000","6675","26.9000","96","21.9000","8.3000","272.5000"
"Iowa","16.4000","33.9000","6610","26.5000","114","22.5000","5","245.2000"
"New Jersey","13.1000","27.3000","6375","28.5000","69","15.2000","7.9000","206.1000"
"Oregon","14.5000","29","6262","23.9000","86","19.6000","7.2000","244.4000"
"Colorado","13.5000","23.8000","6261","18.7000","104","19.6000","8","256"
"Utah","7.9000","29.2000","6205","18.5000","81","12","9.7000","187.5000"
"Rhode Island","13.3000","30","6174","26.5000","147","20.1000","4.1000","344.1000"
"Hawaii","12.3000","25","6129","24.4000","205","19.3000","4.2000","223.5000"
"Washington","12.6000","28.3000","6086","19.2000","102","15.7000","6.6000","248.4000"
"Connecticut","12.1000","29.1000","6035","23.5000","90","17.7000","5.9000","277.9000"
"Massachusetts","12","25.2000","5973","26.4000","144","21.3000","3","362.8000"
"New York","12.7000","27.1000","5800","27.2000","147","18.2000","5.2000","290.6000"
"California","10","26.3000","5650","22.4000","118","18.3000","7.7000","189.7000"
"Minnesota","14.6000","30.1000","5648","19.9000","84","22","4.9000","291.4000"